Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z
319,478716.07,6772459.86,401.07,478716.07,6772459.86,392.5
320,478720.45,6772461.25,399.67,478720.45,6772461.25,392.5
321,478724.83,6772462.64,398.23,478724.83,6772462.64,392.5
322,478729.22,6772464.04,396.91,478729.22,6772464.04,392.5
323,478733.6,6772465.43,396.11,478733.6,6772465.43,392.5
324,478730.2,6772468.55,396.12,478730.2,6772468.55,392.5
325,478725.82,6772467.15,397.07,478725.82,6772467.15,392.5
326,478721.43,6772465.76,398.56,478721.43,6772465.76,392.5
327,478717.05,6772464.37,400.12,478717.05,6772464.37,392.5
328,478712.66,6772462.97,401.43,478712.66,6772462.97,392.5
329,478708.28,6772461.58,402.89,478708.28,6772461.58,392.5
330,478703.9,6772460.19,404.17,478703.9,6772460.19,392.5
331,478699.51,6772458.8,404.93,478699.51,6772458.8,392.5
332,478695.13,6772457.4,405.33,478695.13,6772457.4,392.5
333,478696.11,6772461.91,405.14,478696.11,6772461.91,392.5
334,478700.49,6772463.31,404.56,478700.49,6772463.31,392.5
335,478704.88,6772464.7,403.78,478704.88,6772464.7,392.5
336,478709.26,6772466.09,402.05,478709.26,6772466.09,392.5
337,478713.64,6772467.48,400.53,478713.64,6772467.48,392.5
338,478718.03,6772468.88,399.05,478718.03,6772468.88,392.5
339,478722.41,6772470.27,397.61,478722.41,6772470.27,392.5
340,478726.8,6772471.66,396.52,478726.8,6772471.66,392.5
341,478731.18,6772473.05,395.8,478731.18,6772473.05,392.5
342,478727.78,6772476.17,396.2,478727.78,6772476.17,392.5
343,478723.39,6772474.78,397.01,478723.39,6772474.78,392.5
344,478719.01,6772473.38,398.07,478719.01,6772473.38,392.5
345,478714.63,6772471.99,399.59,478714.63,6772471.99,392.5
346,478710.24,6772470.6,401.14,478710.24,6772470.6,392.5
347,478703.34,6772468.4,403.85,478706.24,6772469.33,392.5
348,478701.47,6772467.81,404.3,478701.47,6772467.81,392.5
349,478697.09,6772466.42,404.93,478697.09,6772466.42,392.5
350,478693.97,6772465.46,405.14,478693.97,6772465.46,392.5
351,478693.69,6772469.54,405.12,478693.69,6772469.54,392.5
352,478698.07,6772470.93,404.64,478698.07,6772470.93,392.5
353,478702.45,6772472.32,403.97,478702.45,6772472.32,392.5
354,478708.7,6772474.2,401.2,478706.45,6772473.61,392.5
355,478711.22,6772475.11,400.17,478711.22,6772475.11,392.5
356,478715.61,6772476.5,398.64,478715.61,6772476.5,392.5
357,478719.99,6772477.89,397.42,478719.99,6772477.89,392.5
358,478716.59,6772481.01,398.7,478716.59,6772481.01,392.5
359,478712.2,6772479.62,399.7,478712.2,6772479.62,392.5
360,478707.82,6772478.22,401.35,478707.82,6772478.22,392.5
361,478701.73,6772474.82,403.86,478703.7,6772477.14,392.5
362,478699.05,6772475.44,404.34,478699.05,6772475.44,392.5
363,478694.67,6772474.05,405.16,478694.67,6772474.05,392.5
364,478696.83,6772474.67,404.73,478696.83,6772477.95,392.5
365,478700.87,6772476.33,404.13,478700.87,6772479.44,392.5
366,478710.14,6772479.75,400.34,478710.14,6772481.85,392.5
367,478714.32,6772480.75,399.34,478714.32,6772482.58,392.5
